p,d,q,Model
2,1,1,"ARIMA(2,1,1)"
1,1,0,"ARIMA(1,1,0)"
0,1,0,"ARIMA(0,1,0)"
2,1,0,"ARIMA(2,1,0)"
0,1,3,"ARIMA(0,1,3)"
3,1,0,"ARIMA(3,1,0)"
1,1,2,"ARIMA(1,1,2)"
2,1,2,"ARIMA(2,1,2)"
0,1,2,"ARIMA(0,1,2)"
1,1,1,"ARIMA(1,1,1)"
0,1,1,"ARIMA(0,1,1)"
